Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
good,1.170625,635.248101,1645.228866,2895.284068,3981.423869
good,1.176875,648.410774,1694.819585,2934.167779,3949.486032
good,1.183125,621.853981,1716.394164,2978.24113,4093.62584
good,1.189375,583.261629,1658.999521,2865.477921,4183.450836
good,1.195625,600.090206,1712.430026,2977.320422,3997.550743
good,1.201875,700.172748,1802.859045,2973.915274,4011.047534
good,1.208125,660.561828,1740.89453,2883.853005,4126.919267
good,1.214375,588.375686,1830.76846,2968.73321,4161.666935
good,1.220625,638.75655,1986.559001,3234.01669,4166.761832
good,1.226875,688.673019,2013.612915,3264.709066,4231.520031
good,1.233125,864.072914,2193.239092,3625.219823,4108.837278
good,1.239375,761.335595,1967.990137,2871.880435,3811.758719
good,1.245625,742.658528,1815.955189,2988.901197,3799.27435
good,1.251875,808.635245,1855.627381,3233.166113,3734.43506
good,1.258125,1265.440824,1881.14799,2657.832042,3511.039554
good,1.264375,1579.64751,1892.453623,2841.579789,5401.30454
good,1.270625,913.609007,1935.597476,2334.980274,2794.75167
pants,1.276875,715.608502,1917.285384,2544.690643,3290.429474
pants,1.283125,694.939552,1939.948333,2537.63298,3342.283205
pants,1.289375,682.440222,1963.789258,3410.479724,3452.349127
pants,1.295625,704.17857,2013.385452,2504.052828,3488.873664
pants,1.301875,757.438212,2002.208326,2791.148541,4332.386503
pants,1.308125,817.887783,1961.153404,2717.609188,4263.652315
pants,1.314375,862.179014,1950.064942,2683.580331,4312.255102
pants,1.320625,868.683133,1914.678325,2586.331108,4289.506447
pants,1.326875,882.139776,1901.132472,2679.317464,4186.265764
pants,1.333125,874.137693,1916.392198,2665.027638,4038.693649
pants,1.339375,871.427182,1908.46279,2586.510308,3893.754197
pants,1.345625,897.544224,1882.537435,2589.272738,3897.311343
pants,1.351875,889.706853,1882.98712,2622.637059,3907.446936
pants,1.358125,913.033097,1878.468514,2665.275172,3881.267329
pants,1.364375,928.798124,1852.501644,2694.954017,3889.315974
pants,1.370625,922.140744,1826.451696,2693.724011,3669.859653
pants,1.376875,913.567782,1800.252633,2647.853331,3621.880876
pants,1.383125,888.177387,1749.768974,2640.872177,3681.05996
pants,1.389375,884.040501,1699.649593,2638.045584,3735.983468
pants,1.395625,873.367704,1613.870824,2630.343781,3761.842807
pants,1.401875,862.262047,1599.03397,2574.075685,3638.359768
pants,1.408125,866.468185,1617.85801,2430.576805,3505.414781
pants,1.414375,859.670377,1638.545529,2139.499932,3575.214513
pants,1.420625,858.437614,1707.741553,2249.726483,3616.722686
pants,1.426875,875.859168,1755.98698,2488.09143,3706.015713
pants,1.433125,910.218487,1750.923902,2484.364483,3779.034121
pants,1.439375,913.732199,1752.403855,2610.368319,3758.201197
pants,1.445625,855.409526,1772.833019,2357.253602,2746.63161
pants,1.451875,822.890479,1754.418471,2484.705412,3714.557076
pants,1.458125,786.101396,1754.766726,2690.466673,3876.531468
pants,1.464375,774.729064,1742.961822,2681.343188,3900.21434
pants,1.470625,740.550664,1852.375376,2992.152555,4197.971294
pants,1.476875,642.392083,1868.019239,2944.303985,3598.590065
pants,1.483125,533.741212,1773.443311,2474.815508,3692.458105
pants,1.489375,451.659627,1788.664259,2514.340839,3767.395603
pants,1.495625,455.439644,1843.604393,2695.753817,3808.208956
pants,1.501875,390.292854,1795.170665,2984.863708,3654.863776
pants,1.508125,331.129758,1754.124108,3378.740168,3457.792225
pants,1.514375,308.816727,1764.509703,3465.27479,4564.247767
pants,1.520625,293.235055,1732.594395,1836.404307,3556.410075
pants,1.526875,286.563067,1807.884769,3358.173002,4055.435422
pants,1.533125,276.508092,1851.402767,3561.26772,4011.734469
pants,1.539375,650.230747,1960.510784,3362.420493,4172.803424
pants,1.545625,510.140158,1929.926527,3133.474828,4294.99195
pants,1.551875,568.241173,1778.660878,3050.202489,4000.380824
pants,1.558125,577.896804,1759.770037,3178.939587,3767.692064
pants,1.564375,577.612041,1734.792317,3092.333802,4350.276029
pants,1.570625,554.997106,1692.160149,2722.961614,4154.936576
pants,1.576875,534.290076,1591.310725,2976.201828,4397.675317
pants,1.583125,550.557573,1618.345421,2972.995189,4385.459723
pants,1.589375,551.883868,1776.75458,2955.753778,4326.500897
pants,1.595625,361.783958,1748.599417,3088.913941,4352.683381
pants,1.601875,1686.541051,2762.410964,4213.012637,5140.921474
pants,1.608125,966.660279,1722.490284,2909.231296,4275.177591
pants,1.614375,1302.332691,1799.775687,3045.555518,4393.516804
pants,1.620625,1145.715452,1775.615887,3211.170625,4204.643429
pants,1.626875,962.818504,1951.505029,3612.308714,5006.925236
pants,1.633125,1268.56417,2054.933168,3428.948139,4906.480469
pants,1.639375,1156.719209,1737.896786,3205.358278,4840.749109
pants,1.645625,1099.81157,1926.316389,3262.292569,4278.257231
pants,1.651875,1060.289595,2073.578315,3389.56274,4753.564921
pants,1.658125,1062.324359,1921.826974,3180.280874,4621.357655
pants,1.664375,1070.748076,1938.17599,3158.833246,4397.491503
pants,1.670625,1075.491871,1946.412996,3026.350607,3792.318378
pants,1.676875,1068.288213,1994.15982,2683.59335,3961.695406
pants,1.683125,1032.158473,2025.829016,2276.057297,3731.770792
pants,1.689375,1069.486238,2047.19745,2182.093144,3747.809162
pants,1.695625,1104.362451,2075.760701,3467.210632,4633.410287
look,1.701875,1109.547101,2127.841498,3389.5499,4253.884815
look,1.708125,442.476854,1970.556664,3273.910677,3786.747807
look,1.714375,423.408478,1641.485835,2801.839406,3724.119009
look,1.720625,411.902013,1411.358192,2833.331808,3773.795342
look,1.726875,408.692833,1399.886192,2618.203534,3593.877653
look,1.733125,417.724012,1408.202052,2580.013094,3635.304024
look,1.739375,420.722084,1548.372206,2710.238661,3590.200616
look,1.745625,467.85956,1552.758198,2690.839185,3284.48815
look,1.751875,487.811674,1548.812572,2662.1509,3423.333522
look,1.758125,511.636057,1562.502436,2684.289807,3470.801918
look,1.764375,533.059525,1580.737492,2705.016586,3595.047667
look,1.770625,538.356922,1588.801999,2670.122473,3999.103809
look,1.776875,538.765277,1582.964974,2676.838332,3754.169382
look,1.783125,509.538422,1535.365309,2702.381289,3720.396011
look,1.789375,479.880756,1470.780266,2665.160912,3666.113193
look,1.795625,468.333169,1424.386423,2613.062425,3809.752371
look,1.801875,456.641746,1431.600441,2581.10488,3950.713622
look,1.808125,436.255394,1518.374048,2597.644112,4053.378068
look,1.814375,430.737844,1538.254004,2580.402666,4049.653965
look,1.820625,554.818346,1554.743094,2657.181238,4019.587011
look,1.826875,599.635032,1591.08237,2662.681569,3733.462229
look,1.833125,559.560553,1536.252612,2501.360208,3683.312201
look,1.839375,1006.65225,2157.683962,3503.174719,4538.477404
look,1.845625,800.289393,2178.782837,3420.203802,4438.145034
look,1.851875,569.859669,2153.896754,3325.195724,3622.73806
look,1.858125,688.839032,2123.013702,3231.988275,4467.957031
look,1.864375,1051.134076,1920.660117,3141.933124,4193.055343
look,1.870625,1232.743741,2183.294918,3197.141566,4274.981852
look,1.876875,1411.930182,2323.357369,3234.555731,4233.284872
look,1.883125,1480.223942,2596.802128,3229.936636,4287.686595
look,1.889375,887.127188,2015.769006,2967.368632,4202.304265
look,1.895625,699.751974,2536.698252,3193.273147,4281.048358
look,1.901875,670.64302,2410.296082,2548.965969,3660.135153
look,1.908125,643.40422,1938.276013,3009.484146,4212.792855
look,1.914375,699.618082,1558.932477,2983.064733,4075.826102
look,1.920625,841.01673,1528.876852,3045.978031,3553.396071
look,1.926875,837.071872,1506.104766,3113.91182,3293.072153
look,1.933125,808.399162,1474.966404,2812.349406,3714.525944
great,1.939375,717.436538,1553.236891,2772.897456,3725.9854
great,1.945625,548.818045,1580.352621,2884.133293,3822.528067
great,1.951875,550.394687,1553.444227,2071.478495,3296.813257
great,1.958125,542.238344,1421.848608,1642.391411,3316.78792
great,1.964375,554.243981,1429.37422,1728.225925,3269.61756
great,1.970625,564.141476,1539.26849,1830.525492,3519.564522
great,1.976875,575.718065,1607.135327,1891.932432,3952.759943
great,1.983125,580.718611,1621.231832,1913.475926,4210.917285
great,1.989375,583.224803,1639.550784,1922.479397,3494.631192
great,1.995625,600.780296,1754.669604,1983.532711,3499.053459
great,2.001875,624.323505,1807.095241,2096.432882,3487.538092
great,2.008125,632.720836,1804.119881,2107.677227,3278.465497
great,2.014375,627.285959,1804.904041,2069.046333,3272.160737
great,2.020625,668.57409,1827.898386,2062.072771,3325.516367
great,2.026875,712.80904,1885.02633,2050.842566,3309.731756
great,2.033125,695.999041,2042.572381,2420.849978,3292.475427
great,2.039375,647.853093,2031.095239,2587.265337,3292.630903
great,2.045625,654.255886,2044.218552,2601.862051,3317.793434
great,2.051875,657.012349,2123.324675,2595.778701,3291.138348
great,2.058125,641.362931,2461.330153,2633.39526,3281.112863
great,2.064375,627.340103,2265.942567,2940.63884,3405.374144
great,2.070625,604.621717,2232.474456,2950.811283,3509.911315
great,2.076875,575.426317,2180.522896,3001.580447,3522.221417
great,2.083125,565.834664,2284.611757,3041.971411,3527.955254
great,2.089375,533.461038,2494.969141,3007.7482,3541.05923
great,2.095625,524.556744,2815.926604,2981.551481,3665.95152
great,2.101875,510.292433,2731.522442,2969.980301,3914.339822
great,2.108125,494.844528,2710.812922,2950.26914,3745.297702
great,2.114375,479.461129,2606.765933,2931.901356,3841.32448
great,2.120625,474.960661,2490.038326,2871.186151,3846.739154
great,2.126875,461.713829,2206.424723,2839.732713,3788.492662
great,2.133125,460.139886,1964.596313,2830.436081,3715.219881
great,2.139375,392.955985,1931.556648,2884.113386,3807.58523
great,2.145625,372.194616,1971.559021,2829.953925,3681.149569
great,2.151875,366.901029,2005.990067,2789.594285,3696.571997
great,2.158125,360.436977,2056.63683,2765.542134,3846.648927
great,2.164375,370.711478,1944.795078,2813.440598,3884.049319
great,2.170625,591.17959,1893.727122,2828.322315,3919.712982
great,2.176875,737.726771,1913.734989,2928.102244,4107.507229
great,2.183125,852.381639,1995.208548,2820.143959,3897.705951
great,2.189375,744.25266,2082.651182,2879.882057,3903.471561
